number,treatment,control
1,voting_treatment.1.player.id_in_group,voting_control.1.player.id_in_group
2,voting_treatment.1.player.role,voting_control.1.player.role
3,voting_treatment.1.player.payoff,voting_control.1.player.payoff
4,voting_treatment.1.player.wtp_voting_cost,voting_control.1.player.wtp_voting_cost
5,,voting_control.1.player.wtp_voting_cost_pq
6,voting_treatment.1.player.is_large_team,voting_control.1.player.is_large_team
7,voting_treatment.1.player.is_large_team_pq,voting_control.1.player.is_large_team_pq
8,voting_treatment.1.player.is_winner,voting_control.1.player.is_winner
9,voting_treatment.1.player.is_winner_pq,voting_control.1.player.is_winner_pq
10,voting_treatment.1.player.voting_cost,voting_control.1.player.voting_cost
11,,voting_control.1.player.voting_cost_pq
12,voting_treatment.1.player.vote,voting_control.1.player.vote
13,,voting_control.1.player.vote_pq
14,voting_treatment.1.player.S1_Switching,voting_control.1.player.S1_Switching
15,voting_treatment.1.player.S2_Switching,voting_control.1.player.S2_Switching
16,,voting_control.1.player.S1_Switching_pq
17,,voting_control.1.player.S2_Switching_pq
18,voting_treatment.1.player.temp_payoff,voting_control.1.player.temp_payoff
19,,voting_control.1.player.temp_payoff_pq
20,voting_treatment.1.player.p0,voting_control.1.player.p0
21,voting_treatment.1.player.p10,voting_control.1.player.p10
22,voting_treatment.1.player.p20,voting_control.1.player.p20
23,voting_treatment.1.player.p30,voting_control.1.player.p30
24,voting_treatment.1.player.p40,voting_control.1.player.p40
25,voting_treatment.1.player.p50,voting_control.1.player.p50
26,voting_treatment.1.player.p60,voting_control.1.player.p0_pq
27,voting_treatment.1.player.p70,voting_control.1.player.p10_pq
28,voting_treatment.1.player.p80,voting_control.1.player.p20_pq
29,voting_treatment.1.player.p90,voting_control.1.player.p30_pq
30,voting_treatment.1.player.p100,voting_control.1.player.p40_pq
31,,voting_control.1.player.p50_pq
32,voting_treatment.1.player.p1,voting_control.1.player.p1
33,voting_treatment.1.player.p2,voting_control.1.player.p2
34,voting_treatment.1.player.p3,voting_control.1.player.p3
35,voting_treatment.1.player.p4,voting_control.1.player.p4
36,voting_treatment.1.player.p5,voting_control.1.player.p5
37,voting_treatment.1.player.p6,voting_control.1.player.p6
38,voting_treatment.1.player.p7,voting_control.1.player.p7
39,voting_treatment.1.player.p8,voting_control.1.player.p8
40,voting_treatment.1.player.p9,voting_control.1.player.p9
41,,voting_control.1.player.p1_pq
42,,voting_control.1.player.p2_pq
43,,voting_control.1.player.p3_pq
44,,voting_control.1.player.p4_pq
45,,voting_control.1.player.p5_pq
46,,voting_control.1.player.p6_pq
47,,voting_control.1.player.p7_pq
48,,voting_control.1.player.p8_pq
49,,voting_control.1.player.p9_pq
50,voting_treatment.1.group.id_in_subsession,voting_control.1.group.id_in_subsession
51,voting_treatment.1.group.small_team_vote_count,voting_control.1.group.small_team_vote_count
52,voting_treatment.1.group.large_team_vote_count,voting_control.1.group.large_team_vote_count
53,voting_treatment.1.group.small_team_win,voting_control.1.group.small_team_win
54,voting_treatment.1.group.small_team_vote_count_pq,voting_control.1.group.small_team_vote_count_pq
55,voting_treatment.1.group.large_team_vote_count_pq,voting_control.1.group.large_team_vote_count_pq
56,voting_treatment.1.group.small_team_win_pq,voting_control.1.group.small_team_win_pq
57,voting_treatment.1.group.total_vote_count_pq,voting_control.1.group.total_vote_count_pq
58,voting_treatment.1.subsession.round_number,voting_control.1.subsession.round_number
59,voting_treatment.1.subsession.round_row,voting_control.1.subsession.round_row
